network,location,component,lat,lon,station_type
EMEP,Abastumani,	SO2.concentration,	41.755053,	42.825333,	tracegases
ACTRIS-EARLINET,	Leipzig,	aerosol.backscatter.coefficient,	51.35,	12.43,	profiles
ACTRIS-EARLINET,	Limassol,	aerosol.backscatter.coefficient,	34.67,	33.04,	profiles
ACTRIS-EARLINET,	Madrid,	aerosol.backscatter.coefficient,	40.45,	-3.73,	profiles
ACTRIS-EARLINET,	Maisach,	aerosol.backscatter.coefficient,	48.209,	11.258,	profiles
ACTRIS-EARLINET,	Minsk,	aerosol.backscatter.coefficient,	53.92,	27.6,	profiles
ACTRIS-EARLINET,	Napoli,	aerosol.backscatter.coefficient,	40.838,	14.183,	profiles
ACTRIS-EARLINET,	Nicolosi,	aerosol.backscatter.coefficient,	37.734,	15.004,	profiles
ACTRIS-EARLINET,	Palaiseau,	aerosol.backscatter.coefficient,	48.713,	2.208,	profiles
ACTRIS-EARLINET,	Payerne,	aerosol.backscatter.coefficient,	46.8,	6.9,	profiles
ACTRIS-EARLINET,	Potenza,	aerosol.backscatter.coefficient,	40.7,	15.27,	profiles
ACTRIS-EARLINET,	Sofia,	aerosol.backscatter.coefficient,	42.65,	23.38,	profiles
ACTRIS-EARLINET,	Thessaloniki,	aerosol.backscatter.coefficient,	40.5,	22.9,	profiles
ACTRIS-EARLINET,	Warsaw,	aerosol.backscatter.coefficient,	52.21,	20.98,	profiles
